participant_id,session_timestamp,session_uuid,unix_timestamp_ms,event_type,game_mode,game_phase,target_id,target_type,target_x_normalized,target_y_normalized,target_x_pixels,target_y_pixels,target_index,game_score_at_event
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451457306,stimuli_start,hips-sway,centering,hip-centering-001,centering,0.5,0.7000000000000001,720,917.7,1,0
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451458431,stimuli_stop,hips-sway,centering,hip-centering-001,centering,0.5,0.7000000000000001,720,917.7,1,1
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451458431,stimuli_start,hips-sway,targeting,hip-left-001,hip-left,0.175,0.7000000000000001,251.99999999999997,917.7,2,1
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451459587,stimuli_stop,hips-sway,targeting,hip-left-001,hip-left,0.175,0.7000000000000001,251.99999999999997,917.7,2,2
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451460464,stimuli_start,hips-sway,targeting,hip-right-002,hip-right,0.825,0.7000000000000001,1188,917.7,3,2
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451461069,stimuli_stop,hips-sway,targeting,hip-right-002,hip-right,0.825,0.7000000000000001,1188,917.7,3,3
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451461871,stimuli_start,hips-sway,targeting,hip-left-003,hip-left,0.175,0.7000000000000001,251.99999999999997,917.7,4,3
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451462375,stimuli_stop,hips-sway,targeting,hip-left-003,hip-left,0.175,0.7000000000000001,251.99999999999997,917.7,4,4
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451463273,stimuli_start,hips-sway,targeting,hip-right-004,hip-right,0.825,0.7000000000000001,1188,917.7,5,4
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451463458,stimuli_stop,hips-sway,targeting,hip-right-004,hip-right,0.825,0.7000000000000001,1188,917.7,5,5
